ID,DİZE,DUYGU
1,"Bütün sevgileri atıp içimden, Varlığımı yalnız ona verdim ben, Elverir ki bir gün bana derinden, Ta derinden bir gün bana ""Gel"" desin.",ÖZLEM
2,"Çocukluğum, çocukluğum… Bir çekmecede unutulmuş, Senelerle rengi solmuş, Bir tek resim çocukluğum.",ÖZLEM
3,"Bir garip rüya rengiyle Uyuşmuş gibi her şekil, Rüzgârda uçan tüy bile Benim kadar hafif değil",MUTLULUK
4,"Başım sükûtu öğüten Uçsuz bucaksız değirmen; İçim muradına ermiş Abasız, postsuz bir derviş.",MUTLULUK
5,"Kökü bende bir sarmaşık Olmuş dünya sezmekteyim, Mavi, masmavi bir ışık Ortasında yüzmekteyim.",MUTLULUK
6, Seviyorum seni denizi ilk defa uçakla geçer gibi ,AŞK
7, Seviyorum seni Yaşıyoruz çok şükür der gibi.,AŞK
8,Bunca yıl yaşadım Elime ne geçtiyse yitirdim,PİŞMANLIK
9,Sana gitme demeyeceğim.  Yanımda kal.,ÖZLEM
10,"Ağlasam sesimi duyar mısınız, Mısralarımda; Dokunabilir misiniz Gözyaşlarıma, ellerinizle? ",HÜZÜN
11,"Bilmezdim şarkıların bu kadar güzel, Kelimelerinse kifayetsiz olduğunu Bu derde düşmeden önce.",HÜZÜN
12,"En mutlu gün en mutlu saat Kurumuş körelmiş yüreğimin bildiği, en büyük umutları gücün ve gururun Hissettiğim, geçip gitti.",ÖZLEM
13,Hüznünü al git Ben Mutluluk taciriyim Mutluluk alır Mutluluk satarım Hele birde Ucuzuna umut bulduğumda Kapı kapı Bedavadan dağıtırım,MUTLULUK
14,"Birçok gidenin her biri memnun ki yerinden, Birçok seneler geçti; dönen yok seferinden.",ÖZLEM
14,"Rıhtımda kalanlar bu seyahatten elemli, Günlerce siyah ufka bakar gözleri nemli. ",ÖZLEM
16,Seni düşünürken Bir çakıl taşı ısınır içimde Bir kuş gelir yüreğimin ucuna konar Bir gelincik açılır ansızın Seni düşünürken,ÖZLEM
17,Buğulanan camlara usulca Yüzünü çiziyorum ki yüzün Bir yağmur damlası olup Düşüyor yapraklarına gülün,AŞK
18,Cama düşen su damlası gibi hayat Hızla akıp gidiyor gözlerimden Zaman nasıl düşüyorsa ömürden Elimizden kayıp gidiyor hayat,PİŞMANLIK
19,"Bekletir seni mezar başında… Tekrardan yalnız kalıyorum, bir barda,bir mezarda, bir başıma,bir sokakta, Bakıyorum gökyüzüne ağlıyorum…",HÜZÜN
20,"Kış beni tamamen dondurup, hissizleştirdikten sonra, Baharlar gelse ne olur gelmese ne olur?",PİŞMANLIK
